pwsId,year,analyteCode,pwsName,countyServed,cityServed,waterSource,mean,max,populationServed,fips,
"1030003","2013","Nitrate","Twin Haven Estates","Becker","Detroit Lakes","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","200","27005"
"1030005","2013","Nitrate","Detroit Lakes","Becker","Detroit Lakes","Groundwater","0.75 mg/L","0.75 mg/L","8763","27005"
"1030006","2013","Nitrate","Oak Grove Mobile Home Park","Becker","Detroit Lakes","Groundwater","8.65 mg/L","9.5 mg/L","60","27005"
"1030010","2013","Nitrate","Kountry Manor Mobile Home Park","Becker","Detroit Lakes","Groundwater","1.3 mg/L","1.3 mg/L","80","27005"
"1030022","2013","Nitrate","Brandy Lake Estates","Becker","Detroit Lakes","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","50","27005"
"1030014","2013","Nitrate","Frazee","Becker","Frazee","Groundwater","0.58 mg/L","0.58 mg/L","1400","27005"
"1030016","2013","Nitrate","Lake Park","Becker","Lake Park","Groundwater","0.35 mg/L","0.35 mg/L","784","27005"
"1040001","2013","Nitrate","Elpine Village","Beltrami","Bemidji","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","125","27007"
"1040002","2013","Nitrate","Bemidji","Beltrami","Bemidji","Groundwater","0.18 mg/L","0.18 mg/L","13560","27007"
"1040007","2013","Nitrate","Birchlane Trailer Court","Beltrami","Bemidji","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","80","27007"
"1040009","2013","Nitrate","Little Norway Trailer Court","Beltrami","Bemidji","Groundwater","5.0 mg/L","5.0 mg/L","60","27007"
"1040024","2013","Nitrate","Northern Trailer Park","Beltrami","Bemidji","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","40","27007"
"1040026","2013","Nitrate","Secluded Acres","Beltrami","Bemidji","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","60","27007"
"1040027","2013","Nitrate","Woodland Mobile Home Park","Beltrami","Bemidji","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","70","27007"
"1040030","2013","Nitrate","Grass Lake Mobile Home Park","Beltrami","Bemidji","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","80","27007"
"1040031","2013","Nitrate","Oak Hills Fellowship Bible College","Beltrami","Bemidji","Groundwater","0.13 mg/L","0.75 mg/L","225","27007"
"1040032","2013","Nitrate","Pine Valley Mobile Home Park","Beltrami","Bemidji","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","60","27007"
"1040033","2013","Nitrate","Country Lane Mobile Home Park","Beltrami","Bemidji","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","35","27007"
"1040034","2013","Nitrate","Movil Lake Trailer Park","Beltrami","Bemidji","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","50","27007"
"1040035","2013","Nitrate","Roosevelt Manor","Beltrami","Bemidji","Groundwater","1.54 mg/L","2.9 mg/L","60","27007"
"1040036","2013","Nitrate","Cottage Creek Estates","Beltrami","Bemidji","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","35","27007"
